name,domain,skills,experience,education,projects
Candidate 66,Mobile App Developer,"Hibernate, API Development, Spring Boot, CSS, React, Kubernetes",3.3 years,B.Tech CS,"Blockchain Wallet, Weather App"
Candidate 67,Machine Learning Engineer,"Selenium, React, Jira, TypeScript, Docker, Power BI",1.1 years,M.Tech AI,ChatGPT Clone
Candidate 68,DevOps Engineer,"API Development, Jira, Power BI, Docker, TypeScript, Android Studio",2.3 years,MCA,"ERP System, ChatGPT Clone"
Candidate 69,Database Engineer,"AWS, Pandas, Kotlin, Hibernate",2.3 years,B.Tech IT,"Blockchain Wallet, Ecommerce API"
Candidate 70,Web Developer,"Power BI, Pandas, AWS, Express",4.5 years,B.Sc IT,"Stock Predictor, ChatGPT Clone"
Candidate 71,Software Tester,"Node.js, TensorFlow, React, Android Studio, Kotlin",3.6 years,BCA,"Job Portal, Resume Analyzer"
Candidate 72,Data Analyst,"Hibernate, Jira, SQL, AWS, Android Studio, HTML",2.2 years,B.Sc IT,Job Portal
Candidate 73,Backend Developer,"C++, API Development, React, Power BI, Jira",3.5 years,M.Tech AI,"Mobile Banking UI, Ecommerce API"
Candidate 74,Web Developer,"Firebase, API Development, Python, Docker, Spring Boot, HTML, Android Studio",4.2 years,B.Sc CS,"Stock Predictor, ChatGPT Clone"
Candidate 75,Data Analyst,"MongoDB, HTML, Git, SQL, Docker, Firebase",1.5 years,B.Tech CSE,Weather App
Candidate 76,Software Tester,"MongoDB, Power BI, Python, Java, C++",2.2 years,B.Tech CSE,Blockchain Wallet
Candidate 77,Software Tester,"Kotlin, TypeScript, Selenium, Express, Node.js, C++",2.7 years,B.Tech IT,"Ecommerce API, ERP System"
Candidate 78,DevOps Engineer,"AWS, Git, Docker, CSS, Selenium, Firebase, Jira",4.9 years,B.Tech CE,"Job Portal, Ecommerce API"
Candidate 79,Java Developer,"Node.js, TensorFlow, Jira, TypeScript, CSS, Kotlin",0.8 years,B.Tech IT,"Ecommerce API, HR Dashboard"
Candidate 80,AI Engineer,"Selenium, Express, Pandas, Spring Boot, SQL, Android Studio",3.1 years,B.Sc CS,IoT Smart Home
Candidate 81,Full Stack Developer,"React, Jira, Kubernetes, Node.js",3.2 years,B.Tech CSE,Job Portal
Candidate 82,Frontend Developer,"Android Studio, Kubernetes, Python, Hibernate, TypeScript",3.7 years,B.Tech CS,Resume Analyzer
Candidate 83,Backend Developer,"Firebase, Node.js, Android Studio, HTML, C#",2.3 years,M.Tech AI,"Resume Analyzer, Mobile Banking UI"
Candidate 84,Full Stack Developer,"Selenium, Firebase, Pandas, Android Studio",1.6 years,B.Tech CSE,Mobile Banking UI
Candidate 85,Software Tester,"Git, NumPy, Kubernetes, Jira, Node.js, CSS",5.0 years,B.Tech CSE,"ChatGPT Clone, IoT Smart Home"
Candidate 86,Machine Learning Engineer,"Pandas, Kotlin, Node.js, MongoDB, Android Studio",0.9 years,BCA,"ChatGPT Clone, ERP System"
Candidate 87,Cloud Engineer,"AWS, Pandas, Node.js, Selenium, Jira",4.6 years,B.Sc CS,"Portfolio Website, IoT Smart Home"
Candidate 88,Java Developer,"CSS, Kotlin, Hibernate, HTML, TypeScript",2.3 years,B.Tech CSE,Ecommerce API
Candidate 89,Data Analyst,"Python, Java, Android Studio, React, Jira",1.5 years,M.Tech AI,Mobile Banking UI
Candidate 90,Software Tester,"HTML, SQL, Firebase, Hibernate, C++, Python",4.7 years,B.Tech IT,"Blockchain Wallet, HR Dashboard"
Candidate 91,Machine Learning Engineer,"Android Studio, HTML, C++, Kubernetes, C#, Kotlin",3.8 years,B.Tech CS,HR Dashboard
Candidate 92,Machine Learning Engineer,"C#, Kotlin, Android Studio, API Development, CSS, SQL",1.7 years,B.Tech IT,Ecommerce API
Candidate 93,Software Tester,"API Development, Kotlin, MongoDB, Git, HTML",3.3 years,MCA,"HR Dashboard, Fake News Detection"
Candidate 94,Data Analyst,"React, Spring Boot, Power BI, Jira, Kotlin",3.9 years,B.Sc CS,"HR Dashboard, Ecommerce API"
Candidate 95,Machine Learning Engineer,"Power BI, Hibernate, TypeScript, SQL, React, Selenium",4.8 years,MCA,Fake News Detection
Candidate 96,Cloud Engineer,"CSS, TensorFlow, C++, API Development",1.3 years,M.Tech AI,Portfolio Website
Candidate 97,Web Developer,"Node.js, NumPy, Kubernetes, Java, SQL",1.1 years,B.Tech CS,HR Dashboard
Candidate 98,Java Developer,"MongoDB, NumPy, C++, Power BI",3.6 years,B.Tech CSE,Portfolio Website
Candidate 99,Database Engineer,"Docker, Selenium, Firebase, Power BI, Hibernate, SQL, NumPy",3.5 years,B.Tech CE,"Blockchain Wallet, IoT Smart Home"
Candidate 100,Frontend Developer,"Firebase, Jira, React, Node.js",3.2 years,B.Sc IT,Mobile Banking UI
Candidate 101,Database Engineer,"Docker, CSS, Kotlin, NumPy, TypeScript, TensorFlow, Selenium",4.2 years,B.Tech CE,Mobile Banking UI
Candidate 102,Web Developer,"Power BI, Firebase, React, Python",0.7 years,M.Tech AI,Resume Analyzer
Candidate 103,Java Developer,"Node.js, C++, Java, Firebase, AWS, Pandas",0.7 years,B.Sc IT,Fake News Detection
Candidate 104,Database Engineer,"CSS, Spring Boot, Kubernetes, MongoDB, Selenium, Android Studio, TypeScript",2.2 years,B.Tech CS,"Mobile Banking UI, Portfolio Website"
Candidate 105,Android Developer,"Firebase, Kubernetes, Hibernate, Express, API Development, Docker, HTML",3.9 years,B.Tech CE,Stock Predictor
Candidate 106,Cloud Engineer,"Android Studio, C#, TypeScript, Pandas, HTML",4.4 years,M.Tech AI,"Blockchain Wallet, HR Dashboard"
Candidate 107,Web Developer,"TensorFlow, Git, MongoDB, Docker, Express, Kubernetes, CSS",0.9 years,MCA,"Job Portal, Mobile Banking UI"
Candidate 108,Mobile App Developer,"Jira, Power BI, Java, C#, HTML",4.9 years,B.Tech CSE,Mobile Banking UI
Candidate 109,Android Developer,"C++, Jira, Power BI, Python",4.7 years,B.Tech CE,ERP System
Candidate 110,Database Engineer,"CSS, Node.js, C#, Jira",1.1 years,B.Tech CSE,Blockchain Wallet
Candidate 111,Backend Developer,"CSS, Java, Power BI, React, TypeScript, Docker, HTML",0.9 years,B.Tech CS,Job Portal
Candidate 112,Java Developer,"Docker, Android Studio, SQL, Express, Power BI, Git",3.0 years,B.Tech IT,"Stock Predictor, Blockchain Wallet"
Candidate 113,Full Stack Developer,"HTML, SQL, Git, Docker",0.8 years,B.Tech CE,"HR Dashboard, Weather App"
Candidate 114,Software Tester,"Git, SQL, C#, Kubernetes, Firebase, TensorFlow",4.4 years,BCA,"Resume Analyzer, ChatGPT Clone"
Candidate 115,Full Stack Developer,"MongoDB, Kotlin, Kubernetes, Jira",1.9 years,B.Tech CE,"ChatGPT Clone, HR Dashboard"
Candidate 116,Java Developer,"HTML, TensorFlow, Spring Boot, Selenium, TypeScript",1.1 years,B.Sc CS,Stock Predictor
Candidate 117,Full Stack Developer,"C#, Java, Express, Android Studio",1.1 years,BCA,"Stock Predictor, ChatGPT Clone"
Candidate 118,Backend Developer,"Node.js, TensorFlow, C++, Android Studio, CSS, Selenium, React",2.7 years,B.Sc CS,ERP System
Candidate 119,Machine Learning Engineer,"Git, Python, Java, HTML",3.0 years,B.Tech CE,Resume Analyzer
Candidate 120,Mobile App Developer,"Git, TypeScript, Kotlin, TensorFlow, SQL",3.7 years,MCA,"Portfolio Website, Ecommerce API"
Candidate 121,AI Engineer,"C#, Node.js, API Development, TensorFlow, NumPy, HTML, CSS",3.4 years,B.Tech CE,"Blockchain Wallet, Ecommerce API"
Candidate 122,Data Analyst,"Jira, Express, HTML, Spring Boot, Docker",4.9 years,B.Tech CS,Ecommerce API
Candidate 123,Cloud Engineer,"Android Studio, Python, TensorFlow, Jira, Express",4.1 years,B.Tech CS,"HR Dashboard, IoT Smart Home"
Candidate 124,DevOps Engineer,"TypeScript, Docker, Kubernetes, Power BI, MongoDB, Jira",1.7 years,M.Tech AI,"Ecommerce API, IoT Smart Home"
Candidate 125,DevOps Engineer,"Kubernetes, TensorFlow, React, CSS",4.7 years,B.Sc CS,"Portfolio Website, Weather App"
Candidate 126,Java Developer,"Hibernate, Python, SQL, Firebase, HTML",4.7 years,B.Sc CS,"Mobile Banking UI, Resume Analyzer"
Candidate 127,Data Analyst,"Kotlin, React, Power BI, Node.js",2.3 years,B.Tech IT,"HR Dashboard, Stock Predictor"
Candidate 128,Web Developer,"API Development, Power BI, Android Studio, Git, Docker, Jira",1.1 years,B.Tech CE,Ecommerce API
Candidate 129,Frontend Developer,"Pandas, React, TensorFlow, API Development, Docker",4.1 years,BCA,"Job Portal, ERP System"
Candidate 130,DevOps Engineer,"MongoDB, TensorFlow, Git, HTML",1.5 years,B.Tech IT,"Resume Analyzer, Job Portal"
Candidate 131,DevOps Engineer,"CSS, Express, Android Studio, TensorFlow",2.0 years,B.Sc CS,Resume Analyzer
Candidate 132,Full Stack Developer,"API Development, React, Hibernate, Python, Docker, Firebase",4.1 years,B.Tech IT,"ChatGPT Clone, ERP System"
Candidate 133,Blockchain Developer,"Git, React, CSS, Android Studio, Power BI",4.9 years,B.Sc CS,ERP System
Candidate 134,Frontend Developer,"API Development, TensorFlow, CSS, Java, Hibernate",5.0 years,B.Tech CSE,"Mobile Banking UI, Stock Predictor"
Candidate 135,Blockchain Developer,"Hibernate, NumPy, Git, Kubernetes, SQL, TensorFlow, Kotlin",2.5 years,B.Tech CS,Ecommerce API
Candidate 136,AI Engineer,"Python, TypeScript, API Development, Android Studio, HTML, Pandas, C++",3.5 years,B.Sc IT,"ChatGPT Clone, Portfolio Website"
Candidate 137,Machine Learning Engineer,"Express, MongoDB, Power BI, Docker",2.6 years,B.Tech CE,"Stock Predictor, Fake News Detection"
Candidate 138,Data Analyst,"HTML, TypeScript, Firebase, Selenium",2.2 years,B.Tech IT,Fake News Detection
Candidate 139,Database Engineer,"Node.js, NumPy, C++, Java, Kubernetes, AWS, Spring Boot",3.5 years,M.Tech AI,"Blockchain Wallet, Weather App"
Candidate 140,Cloud Engineer,"Kotlin, Pandas, Git, HTML, C#",4.8 years,BCA,"Mobile Banking UI, Portfolio Website"
Candidate 141,Java Developer,"TypeScript, Express, Java, C#",4.2 years,B.Tech CS,"Stock Predictor, Ecommerce API"
Candidate 142,Software Tester,"Python, NumPy, Kubernetes, Git",4.1 years,B.Tech CSE,ChatGPT Clone
Candidate 143,Full Stack Developer,"Docker, Kotlin, Pandas, C#, API Development, C++",2.3 years,B.Sc IT,IoT Smart Home
Candidate 144,Database Engineer,"TypeScript, API Development, Kotlin, Spring Boot, CSS, Git, Node.js",1.2 years,B.Sc IT,Ecommerce API
Candidate 145,Data Analyst,"HTML, NumPy, Kubernetes, Kotlin",3.4 years,B.Sc CS,"ERP System, Ecommerce API"
Candidate 146,Software Tester,"TensorFlow, Spring Boot, Git, Python, HTML, MongoDB",1.6 years,B.Tech CS,"Job Portal, ERP System"
Candidate 147,Frontend Developer,"CSS, AWS, Pandas, Spring Boot, Python, Android Studio, Selenium",1.6 years,MCA,"ChatGPT Clone, HR Dashboard"
Candidate 148,Android Developer,"Docker, Firebase, HTML, React, MongoDB, Express",0.8 years,B.Tech CS,"Mobile Banking UI, Job Portal"
Candidate 149,Data Analyst,"Android Studio, Firebase, API Development, Selenium, Kubernetes, Express",0.9 years,B.Tech CE,Weather App
Candidate 150,Java Developer,"HTML, Power BI, React, Jira, Selenium, Docker, AWS",2.3 years,B.Sc CS,ERP System
Candidate 151,Java Developer,"C++, AWS, Spring Boot, React, NumPy, TypeScript",2.0 years,B.Tech CSE,"Mobile Banking UI, ERP System"
Candidate 152,Android Developer,"Kotlin, SQL, TensorFlow, C++, Python, Selenium, MongoDB",0.9 years,B.Tech IT,ChatGPT Clone
Candidate 153,Web Developer,"Node.js, Android Studio, Kubernetes, AWS, API Development",2.9 years,MCA,Blockchain Wallet
Candidate 154,Android Developer,"Spring Boot, Kubernetes, Java, API Development, C++, CSS",1.2 years,B.Tech CS,Ecommerce API
Candidate 155,Java Developer,"TensorFlow, Node.js, AWS, Power BI",0.7 years,MCA,"Job Portal, Resume Analyzer"
Candidate 156,Full Stack Developer,"TypeScript, Kubernetes, MongoDB, C++",1.9 years,B.Tech CS,"Portfolio Website, Fake News Detection"
Candidate 157,Database Engineer,"Node.js, Git, TensorFlow, TypeScript",4.8 years,M.Tech AI,Blockchain Wallet
Candidate 158,Backend Developer,"Kubernetes, C++, AWS, API Development, Python, C#",4.9 years,B.Sc CS,Stock Predictor
Candidate 159,Cloud Engineer,"Kotlin, Android Studio, Express, TensorFlow, NumPy",0.5 years,B.Tech CS,Stock Predictor
Candidate 160,Backend Developer,"TensorFlow, Firebase, Python, Hibernate, NumPy",3.7 years,BCA,"ERP System, Blockchain Wallet"
Candidate 161,Frontend Developer,"Python, Java, TypeScript, Hibernate, Express, Kubernetes",4.1 years,B.Tech CS,"Ecommerce API, Fake News Detection"
Candidate 162,Blockchain Developer,"Kotlin, SQL, Pandas, Python, Docker, TypeScript, Jira",0.5 years,MCA,"HR Dashboard, Job Portal"
Candidate 163,Database Engineer,"Pandas, Docker, HTML, Kubernetes, Jira, Power BI, Python",4.1 years,B.Tech IT,ChatGPT Clone
Candidate 164,Full Stack Developer,"C++, Pandas, React, Java, AWS, Python",4.3 years,M.Tech AI,"Weather App, HR Dashboard"
Candidate 165,Software Tester,"React, Firebase, C#, Python, HTML, NumPy, Selenium",2.2 years,B.Tech IT,Weather App
Candidate 166,Database Engineer,"API Development, Node.js, Jira, NumPy, Java",3.4 years,B.Tech CSE,"Blockchain Wallet, Weather App"
Candidate 167,Database Engineer,"Firebase, Kubernetes, Spring Boot, Docker, NumPy, Selenium",2.1 years,B.Tech CSE,"IoT Smart Home, HR Dashboard"
Candidate 168,Frontend Developer,"Selenium, Git, Power BI, SQL, Jira, CSS, Java",1.7 years,B.Tech CS,Stock Predictor
Candidate 169,Blockchain Developer,"NumPy, API Development, Android Studio, Git, Selenium",4.3 years,B.Sc IT,"ERP System, Ecommerce API"
Candidate 170,AI Engineer,"C#, Git, Node.js, Java, Python, Express, Docker",3.6 years,B.Tech CS,"Fake News Detection, Blockchain Wallet"
Candidate 171,Blockchain Developer,"API Development, SQL, Android Studio, Java, C++",3.4 years,B.Sc IT,"Stock Predictor, Ecommerce API"
Candidate 172,AI Engineer,"NumPy, Node.js, Express, Hibernate",4.9 years,MCA,"Weather App, Job Portal"
Candidate 173,AI Engineer,"API Development, Kubernetes, Selenium, Hibernate, SQL, C++",2.9 years,B.Tech CS,"Job Portal, Blockchain Wallet"
Candidate 174,Software Tester,"Docker, React, Selenium, Pandas, Express",4.7 years,BCA,Fake News Detection
Candidate 175,Frontend Developer,"Selenium, MongoDB, Java, Git, Hibernate, Android Studio, C++",2.6 years,M.Tech AI,"ChatGPT Clone, Fake News Detection"
Candidate 176,Blockchain Developer,"Java, TensorFlow, Selenium, Pandas, Express, AWS",0.8 years,B.Sc IT,"Portfolio Website, Ecommerce API"
Candidate 177,Cloud Engineer,"Hibernate, Pandas, AWS, TypeScript, C#, Java, Power BI",2.8 years,B.Sc CS,"Job Portal, ChatGPT Clone"
Candidate 178,Backend Developer,"Spring Boot, CSS, Power BI, Hibernate",3.0 years,B.Sc IT,"Portfolio Website, Fake News Detection"
Candidate 179,Android Developer,"Firebase, C++, Jira, Kubernetes, Python, Hibernate",3.1 years,B.Tech IT,"Portfolio Website, Ecommerce API"
Candidate 180,Blockchain Developer,"Express, API Development, Firebase, React, Hibernate",4.1 years,BCA,Resume Analyzer
Candidate 181,Software Tester,"Docker, React, Android Studio, Git, AWS, Java, Kotlin",2.3 years,B.Tech CSE,Ecommerce API
Candidate 182,Machine Learning Engineer,"Selenium, Pandas, NumPy, SQL, AWS",4.5 years,B.Tech CSE,HR Dashboard
Candidate 183,Software Tester,"C#, Node.js, Pandas, Docker, AWS",4.1 years,B.Sc CS,"ERP System, Blockchain Wallet"
Candidate 184,Web Developer,"Express, Kotlin, NumPy, MongoDB, C++",4.9 years,B.Tech CS,"ChatGPT Clone, ERP System"
Candidate 185,Cloud Engineer,"Power BI, React, Jira, Kotlin",1.4 years,BCA,"Ecommerce API, Job Portal"
Candidate 186,Machine Learning Engineer,"Hibernate, React, Express, TensorFlow, Kubernetes",2.2 years,MCA,Portfolio Website
Candidate 187,Frontend Developer,"MongoDB, C++, Kotlin, Jira, Node.js, CSS",2.0 years,M.Tech AI,Stock Predictor
Candidate 188,Software Tester,"API Development, TensorFlow, C++, Node.js, React, Hibernate, C#",0.7 years,B.Sc CS,Resume Analyzer
Candidate 189,Backend Developer,"MongoDB, Android Studio, CSS, Spring Boot, Express, TypeScript, Node.js",0.7 years,BCA,"ERP System, Mobile Banking UI"
Candidate 190,Mobile App Developer,"SQL, Node.js, Jira, Hibernate",4.5 years,MCA,Weather App
Candidate 191,Cloud Engineer,"TensorFlow, Jira, Git, Android Studio, Selenium, NumPy, HTML",3.7 years,B.Tech CE,Blockchain Wallet
Candidate 192,Cloud Engineer,"Selenium, Hibernate, Android Studio, SQL, Python, Firebase, NumPy",4.3 years,B.Tech IT,Ecommerce API
Candidate 193,Backend Developer,"MongoDB, HTML, Kubernetes, C#, Spring Boot, TensorFlow, Firebase",2.1 years,B.Tech CE,"Ecommerce API, HR Dashboard"
Candidate 194,Web Developer,"AWS, API Development, HTML, Kubernetes, Express",4.1 years,B.Tech IT,Mobile Banking UI
Candidate 195,Database Engineer,"C#, Pandas, SQL, Docker",4.8 years,B.Tech CE,Fake News Detection
Candidate 196,Software Tester,"Git, MongoDB, TypeScript, Hibernate",3.2 years,B.Tech CS,"Resume Analyzer, Ecommerce API"
Candidate 197,Data Analyst,"NumPy, SQL, Node.js, Hibernate, Selenium",2.3 years,M.Tech AI,Portfolio Website
Candidate 198,Machine Learning Engineer,"Python, Express, Power BI, Java, Kubernetes, Pandas",2.4 years,M.Tech AI,Blockchain Wallet
Candidate 199,Full Stack Developer,"Spring Boot, Express, SQL, NumPy, Android Studio",4.1 years,B.Tech CS,"Weather App, ERP System"
Candidate 200,Android Developer,"SQL, Java, Pandas, AWS, Kotlin, Express",0.8 years,B.Sc IT,ChatGPT Clone
Candidate 201,Java Developer,"Selenium, Python, C#, Kotlin",0.8 years,M.Tech AI,Job Portal
Candidate 202,Full Stack Developer,"Kotlin, TypeScript, Kubernetes, HTML, Firebase",4.8 years,MCA,HR Dashboard
Candidate 203,DevOps Engineer,"Hibernate, API Development, Docker, Python, Kubernetes, Git",1.2 years,B.Tech IT,"Job Portal, ChatGPT Clone"
Candidate 204,Blockchain Developer,"Spring Boot, HTML, CSS, Android Studio",0.7 years,B.Tech CS,"Portfolio Website, HR Dashboard"
Candidate 205,AI Engineer,"Docker, Power BI, Node.js, Pandas",1.4 years,B.Tech CSE,"Portfolio Website, Weather App"
Candidate 206,Java Developer,"Pandas, Node.js, AWS, Python, Selenium, Java, React",1.2 years,B.Sc IT,"Stock Predictor, Weather App"
Candidate 207,Blockchain Developer,"Selenium, Git, React, Spring Boot",3.2 years,B.Tech IT,HR Dashboard
Candidate 208,DevOps Engineer,"Node.js, Kotlin, NumPy, TensorFlow, Selenium, CSS, Python",3.4 years,BCA,"Stock Predictor, Ecommerce API"
